sigma,Marangoni_Constant,recoilCoeff,radius_flavour,laser_radius,substrate_temp,absorptivity,width_um_140W,depth_um_140W,area_um2_140W,width_um_200W,depth_um_200W,area_um2_200W,width_um_260W,depth_um_260W,area_um2_260W,objective,status
1.053505731,-0.00069189,0.747713112,2.0,5e-05,300.0,1.0,107.8181818,55.18,737.2727273,123.7272727,67.86636364,1000.818182,137.7272727,79.27909091,1205.909091,17.386337590328356,ok
1.918849288,-0.000668544,1.91682562,2.0,5e-05,300.0,1.0,97.0,50.10545455,686.9090909,115.4545455,63.42454545,976.8181818,128.1818182,78.64363636,1209.363636,12.939270653409164,ok
1.294011945,-0.000320997,1.350694968,2.0,5e-05,300.0,1.0,98.90909091,55.17818182,716.4545455,116.0909091,66.59727273,958.3636364,123.7272727,76.10545455,1177.636364,14.060851701902244,ok
1.266443081,-0.000673872,0.682998485,2.0,5e-05,300.0,1.0,102.7272727,53.27727273,702.1818182,117.3636364,64.69363636,969.2727273,133.9090909,74.84181818,1191.636364,12.29523610301949,ok
1.266443081,-0.000673872,0.682998485,2.0,5e-05,300.0,1.0,102.7272727,53.27727273,702.1818182,117.3636364,64.69363636,969.2727273,133.9090909,74.84181818,1191.636364,12.29523610301949,ok
1.863900752,-9.63e-05,0.78899863,2.0,5e-05,300.0,1.0,86.81818182,50.10363636,600.5454545,101.4545455,58.34818182,823.9090909,109.7272727,67.86454545,1042.272727,10.226767955916449,ok
1.343013935,-0.000419754,1.545456242,2.0,5e-05,300.0,1.0,102.7272727,55.81181818,720.3636364,112.9090909,65.32818182,964.4545455,126.9090909,78.00909091,1200.363636,14.878098592691089,ok
1.805407107,-0.000241163,1.492477463,2.0,5e-05,300.0,1.0,92.54545455,48.83545455,647.2727273,108.4545455,62.15727273,903.7272727,119.2727273,74.20181818,1114.0,10.450012626057962,ok
1.062423353,-0.000399269,1.150278753,2.0,5e-05,300.0,1.0,102.7272727,51.37454545,724.2727273,114.1818182,65.32818182,962.3636364,127.5454545,81.18181818,1219.0,15.74973713062914,ok
1.062423353,-0.000399269,1.150278753,2.0,5e-05,300.0,1.0,102.7272727,51.37454545,724.2727273,114.1818182,65.32818182,962.3636364,127.5454545,81.18181818,1219.0,15.74973713062914,ok
1.374540119,-4.32e-05,1.597990913,2.0,5e-05,300.0,1.0,93.81818182,52.64090909,685.9090909,112.2727273,61.52272727,947.9090909,121.8181818,76.10545455,1180.181818,11.608240065562873,ok
2.0,-4e-06,0.5,2.0,5e-05,300.0,1.0,80.45454545,47.56636364,548.6363636,100.8181818,54.54090909,768.9090909,104.0,62.79363636,934.4545455,11.971123482918378,ok
2.0,-0.0008,0.5,2.0,5e-05,300.0,1.0,93.81818182,50.73727273,624.1818182,109.7272727,60.88636364,888.0909091,119.2727273,67.86636364,1058.363636,7.381280458652878,ok
1.0,-4e-06,0.5,2.0,5e-05,300.0,1.0,93.81818182,47.56818182,634.9090909,109.0909091,59.61818182,860.7272727,111.6363636,69.76818182,1032.454545,9.616103453078964,ok
1.811288255,-2.37e-05,0.505293969,2.0,5e-05,300.0,1.0,84.90909091,48.20090909,569.1818182,100.1818182,55.81181818,788.5454545,103.3636364,67.86727273,964.1818182,12.316343814147617,ok
1.300557811,-4.56e-05,1.308276002,2.0,5e-05,300.0,1.0,95.09090909,48.20090909,665.0,109.0909091,63.42454545,909.5454545,122.4545455,76.10545455,1149.181818,11.52916118330223,ok
1.3262385,-0.000507134,0.785297909,2.0,5e-05,300.0,1.0,100.1818182,52.64272727,698.5454545,112.9090909,62.15727273,925.5454545,125.6363636,72.93818182,1137.454545,10.14115566194682,ok
2.0,-0.000158509,0.5,2.0,5e-05,300.0,1.0,83.63636364,49.46909091,563.2727273,97.63636364,52.63909091,773.2727273,107.8181818,62.79272727,968.1818182,11.319968924103332,ok
2.0,-0.0008,1.137056268,2.0,5e-05,300.0,1.0,95.09090909,49.47090909,686.2727273,111.0,64.05909091,936.0,123.7272727,77.37545455,1158.727273,12.394405633118152,ok
