id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
0,0.00024,0.000125,0.00014,0.00016,False,0,2e-05,4
1,0.00024,0.00013,0.000125,0.00017,False,0,4.5e-05,9
2,0.00024,0.000135,0.00012,0.00018,False,0,6e-05,12
3,0.00024,0.00014,0.000115,0.000185,False,0,7e-05,14
4,0.00024,0.000145,0.00011,0.000185,False,0,7.5e-05,15
5,0.00024,0.00015,0.00011,0.00019,False,0,8e-05,16
6,0.00024,0.000155,0.000105,0.00019,False,0,8.5e-05,17
7,0.00024,0.00016,0.000105,0.000195,False,0,9e-05,18
8,0.00024,0.000165,0.000105,0.000195,False,0,9e-05,18
9,0.00024,0.00017,0.0001,0.000195,False,0,9.5e-05,19
10,0.00024,0.000175,0.0001,0.000195,False,0,9.5e-05,19
11,0.00024,0.00018,0.0001,0.0002,False,0,0.0001,20
12,0.00024,0.000185,0.0001,0.0002,False,0,0.0001,20
13,0.00024,0.00019,9.5e-05,0.0002,False,0,0.000105,21
14,0.00024,0.000195,9.5e-05,0.000205,False,0,0.00011,22
15,0.00024,0.0002,9e-05,0.000205,False,0,0.000115,23
16,0.00024,0.000205,9e-05,0.00021,False,0,0.00012,24
17,0.00024,0.00021,9e-05,0.00021,False,0,0.00012,24
18,0.00024,0.000215,9e-05,0.00021,False,0,0.00012,24
19,0.00024,0.00022,8.5e-05,0.00021,False,0,0.000125,25
20,0.00024,0.000225,8e-05,0.000215,False,0,0.000135,27
21,0.00024,0.00023,8e-05,0.000215,False,0,0.000135,27
22,0.00024,0.000235,8e-05,0.00022,False,0,0.00014,28
23,0.00024,0.00024,8e-05,0.00022,False,0,0.00014,28
24,0.00024,0.000245,8e-05,0.00022,False,0,0.00014,28
25,0.00024,0.00025,7.5e-05,0.00022,False,0,0.000145,29
26,0.00024,0.000255,7.5e-05,0.000225,False,0,0.00015,30
27,0.00024,0.00026,7.5e-05,0.000225,False,0,0.00015,30
28,0.00024,0.000265,8e-05,0.00022,True,3,0.00014,25
29,0.00024,0.00027,0.000125,0.0002,False,0,7.5e-05,15
30,0.00024,0.000275,0.00014,0.00019,False,0,5e-05,10
31,0.00024,0.00028,0.00013,0.000135,False,0,5e-06,1
32,0.00024,0.000285,0.00013,0.000135,False,0,5e-06,1
33,0.000245,0.000125,0.00014,0.000165,False,0,2.5e-05,5
34,0.000245,0.00013,0.000125,0.000175,False,0,5e-05,10
35,0.000245,0.000135,0.00012,0.00018,False,0,6e-05,12
36,0.000245,0.00014,0.000115,0.000185,False,0,7e-05,14
37,0.000245,0.000145,0.00011,0.000185,False,0,7.5e-05,15
38,0.000245,0.00015,0.00011,0.00019,False,0,8e-05,16
39,0.000245,0.000155,0.000105,0.00019,False,0,8.5e-05,17
40,0.000245,0.00016,0.000105,0.000195,False,0,9e-05,18
41,0.000245,0.000165,0.000105,0.000195,False,0,9e-05,18
42,0.000245,0.00017,0.0001,0.000195,False,0,9.5e-05,19
43,0.000245,0.000175,0.0001,0.000195,False,0,9.5e-05,19
44,0.000245,0.00018,0.0001,0.0002,False,0,0.0001,20
45,0.000245,0.000185,9.5e-05,0.0002,False,0,0.000105,21
46,0.000245,0.00019,9.5e-05,0.0002,False,0,0.000105,21
47,0.000245,0.000195,9.5e-05,0.000205,False,0,0.00011,22
48,0.000245,0.0002,9e-05,0.000205,False,0,0.000115,23
49,0.000245,0.000205,9e-05,0.000205,False,0,0.000115,23
50,0.000245,0.00021,9e-05,0.00021,False,0,0.00012,24
51,0.000245,0.000215,9e-05,0.00021,False,0,0.00012,24
52,0.000245,0.00022,8.5e-05,0.00021,False,0,0.000125,25
53,0.000245,0.000225,8e-05,0.000215,False,0,0.000135,27
54,0.000245,0.00023,8e-05,0.000215,False,0,0.000135,27
55,0.000245,0.000235,8e-05,0.00022,False,0,0.00014,28
56,0.000245,0.00024,8e-05,0.00022,False,0,0.00014,28
57,0.000245,0.000245,8e-05,0.00022,False,0,0.00014,28
58,0.000245,0.00025,8e-05,0.00022,False,0,0.00014,28
59,0.000245,0.000255,7.5e-05,0.00022,False,0,0.000145,29
60,0.000245,0.00026,7.5e-05,0.00022,False,0,0.000145,29
61,0.000245,0.000265,8e-05,0.00022,True,4,0.00014,24
62,0.000245,0.00027,0.00013,0.000205,False,0,7.5e-05,15
63,0.000245,0.000275,0.000145,0.00019,False,0,4.5e-05,9
64,0.000245,0.00028,0.00013,0.000135,False,0,5e-06,1
65,0.000245,0.000285,0.00013,0.000135,False,0,5e-06,1
66,0.00025,0.000125,0.000135,0.000165,False,0,3e-05,6
67,0.00025,0.00013,0.000125,0.000175,False,0,5e-05,10
68,0.00025,0.000135,0.00012,0.00018,False,0,6e-05,12
69,0.00025,0.00014,0.000115,0.000185,False,0,7e-05,14
70,0.00025,0.000145,0.00011,0.000185,False,0,7.5e-05,15
71,0.00025,0.00015,0.00011,0.00019,False,0,8e-05,16
72,0.00025,0.000155,0.000105,0.00019,False,0,8.5e-05,17
73,0.00025,0.00016,0.000105,0.00019,False,0,8.5e-05,17
74,0.00025,0.000165,0.000105,0.000195,False,0,9e-05,18
75,0.00025,0.00017,0.0001,0.000195,False,0,9.5e-05,19
76,0.00025,0.000175,0.0001,0.000195,False,0,9.5e-05,19
77,0.00025,0.00018,0.0001,0.0002,False,0,0.0001,20
78,0.00025,0.000185,9.5e-05,0.0002,False,0,0.000105,21
