Time,Stress,Strain
5,487.57018,0.00498
5.4,370.06803,0.0046
5.8,286.30412,0.00422
6.1,211.84731,0.00384
6.5,133.67027,0.00345
6.9,60.77934,0.00307
7.3,-14.82563,0.00269
7.7,-86.16569,0.0023
8.1,-142.77248,0.00192
8.4,-192.78807,0.00153
8.9,-243.5791,0.00112
9.2,-283.12631,0.000762406
9.6,-318.02091,0.000381883
10,-346.71202,4.05896E-06
10.4,-368.81193,-0.000381862
10.7,-389.74869,-0.000762385
11.1,-404.86968,-0.00114
11.5,-418.05209,-0.00152
11.9,-431.23449,-0.00192
12.3,-442.09059,-0.00231
12.7,-451.39582,-0.00268
13,-458.76245,-0.00306
13.4,-463.3053,-0.00344
13.8,-467.95886,-0.00384
14.2,-471.06122,-0.00422
14.6,-472.22461,-0.00461
15,-473.0002,-0.00498
15.4,-349.03833,-0.00456
15.7,-250.55802,-0.00421
16.1,-156.73032,-0.00381
16.5,-69.49383,-0.00343
16.8,5.72342,-0.00309
17.3,88.69501,-0.00267
17.6,160.03508,-0.0023
18,213.15241,-0.00192
18.4,259.67854,-0.00153
18.8,295.73629,-0.00114
19.2,324.03969,-0.000765083
19.6,351.56765,-0.000376464
19.9,369.40267,-4.03728E-06
20.3,388.01312,0.000387281
20.7,401.19552,0.000767804
21.1,414.37793,0.00115
21.5,427.17261,0.00154
21.9,437.64099,0.00192
22.2,446.94622,0.00231
22.6,455.86373,0.00269
23,461.67949,0.00307
23.4,470.98472,0.00345
23.8,474.08646,0.00384
24.2,478.35136,0.00423
24.5,483.7794,0.0046
25,483.25077,0.005
